year,q,b,se,lo,hi,N
2010,10,5.979638799461523,.40123177,5.1932244,6.7660532,94
2010,25,6.196228317995976,1.2920067,3.6638951,8.7285614,94
2010,50,6.597000511863194,1.2848278,4.0787377,9.115263,94
2010,75,6.152199851681011,1.57767,3.0599666,9.2444334,94
2010,90,7.158543565704199,1.4891723,4.2397661,10.077321,94
2012,10,5.32907051820e-15,.035569847,-.069716901,.069716901,680
2012,25,1.64803185522324,.40340811,.85735196,2.4387116,680
2012,50,2.388608861105595,.37925324,1.6452725,3.1319451,680
2012,75,2.937149744626375,.68192679,1.6005732,4.2737265,680
2012,90,4.141014323376899,1.0155493,2.1505377,6.1314912,680
2014,10,-2.05788438778e-15,.10980992,-.21522745,.21522745,2845
2014,25,1.862649895764478,.19645904,1.4775902,2.2477095,2845
2014,50,2.666977681780018,.1960509,2.2827179,3.0512373,2845
2014,75,3.629829752639385,.33398917,2.9752109,4.2844486,2845
2014,90,3.709857026876932,.63446069,2.4663141,4.9534001,2845
2016,10,.4863197626164428,.15749735,.17762497,.79501456,3463
2016,25,2.032043089910396,.17006212,1.6987213,2.3653648,3463
2016,50,2.44871357608491,.18761587,2.0809865,2.8164406,3463
2016,75,3.242875264137169,.3098875,2.6354957,3.8502548,3463
2016,90,3.277353949487128,.6151672,2.0716262,4.4830818,3463
2018,10,2.549139866196084,.53750563,1.4956288,3.6026509,399
2018,25,2.929239475499596,.55445582,1.8425061,4.0159731,399
2018,50,3.102022291101368,.70085526,1.728346,4.4756985,399
2018,75,4.473325504346111,1.1597501,2.2002153,6.7464356,399
2018,90,3.663735575980329,1.146559,1.4164799,5.9109912,399
2020,10,1.873656199729664,.6983369,.50491595,3.2423964,313
2020,25,2.344654528614166,.64805502,1.0744666,3.6148424,313
2020,50,3.090034955537555,.86921704,1.3863696,4.7937002,313
2020,75,2.923666146444937,1.0144488,.93534648,4.9119859,313
2020,90,.1157646235923914,1.1592653,-2.1563952,2.3879244,313
2022,10,3.094089323243248,.58475304,1.9479734,4.2402053,301
2022,25,3.587113717064035,.72528309,2.1655588,5.0086684,301
2022,50,2.924253608195118,.96488118,1.0330865,4.8154206,301
2022,75,3.105691573759862,.94795752,1.2476948,4.9636884,301
2022,90,3.528767007027743,.83074081,1.9005151,5.1570191,301
9999,10,.5732824481608003,.084117822,.4084115,.7381534,8095
9999,25,2.316182381295349,.11498283,2.090816,2.5415487,8095
9999,50,2.799408220801112,.12029077,2.5636382,3.0351782,8095
9999,75,3.659735597618922,.19331703,3.2808342,4.0386372,8095
9999,90,3.632401373660075,.40560552,2.8374145,4.4273882,8095
